deviceId,hour,lat,lon,sensorId,value
9099687950,3,23.849797,120.572509,pm2_5,31.05204
9099687950,4,23.849797,120.572509,pm2_5,29.32612
9099687950,5,23.849797,120.572509,pm2_5,30.14132
9099687950,6,23.849797,120.572509,pm2_5,32.85825
9099687950,7,23.849797,120.572509,pm2_5,45.0777
9099687950,8,23.849797,120.572509,pm2_5,74.4
9099687950,9,23.849797,120.572509,pm2_5,84.11844
9099687950,10,23.849797,120.572509,pm2_5,72.06088
9099687950,11,23.849797,120.572509,pm2_5,39.23592
9099687950,12,23.849797,120.572509,pm2_5,41.02402
9099687950,13,23.849797,120.572509,pm2_5,32.35939
9099687950,14,23.849797,120.572509,pm2_5,56.40252
9099687950,15,23.849797,120.572509,pm2_5,90.67136
9099687950,16,23.849797,120.572509,pm2_5,33.53412
9099687950,17,23.849797,120.572509,pm2_5,31.37564
9099687950,18,23.849797,120.572509,pm2_5,41.68938
9099687950,19,23.849797,120.572509,pm2_5,63.54871
9099687950,20,23.849797,120.572509,pm2_5,62.74799
9099687950,21,23.849797,120.572509,pm2_5,32.78095
9099687950,22,23.849797,120.572509,pm2_5,38.53552
9099687950,23,23.849797,120.572509,pm2_5,44.85742
9100936283,0,23.847836,120.57328,pm2_5,30.1341
9100936283,1,23.847836,120.57328,pm2_5,33.92316
9100936283,2,23.847836,120.57328,pm2_5,42.7552
9100936283,3,23.847836,120.57328,pm2_5,23.45668
9100936283,4,23.847836,120.57328,pm2_5,50.6327
9100936283,5,23.847836,120.57328,pm2_5,39.35546
9100936283,6,23.847836,120.57328,pm2_5,49.67112
9100936283,7,23.847836,120.57328,pm2_5,26.665
9100936283,8,23.847836,120.57328,pm2_5,30.50985
9100936283,9,23.847836,120.57328,pm2_5,40.34724
9100936283,10,23.847836,120.57328,pm2_5,41.85177
9100936283,11,23.847836,120.57328,pm2_5,40.24294
9100936283,12,23.847836,120.57328,pm2_5,38.96961
9100936283,13,23.847836,120.57328,pm2_5,48.3015
9100936283,14,23.847836,120.57328,pm2_5,55.13452
9100936283,15,23.847836,120.57328,pm2_5,43.55899
9100936283,16,23.847836,120.57328,pm2_5,31.61883
9100936283,17,23.847836,120.57328,pm2_5,36.44035
9100936283,18,23.847836,120.57328,pm2_5,41.22056
9100936283,19,23.847836,120.57328,pm2_5,63.82523
9100936283,20,23.847836,120.57328,pm2_5,66.07523
9100936283,21,23.847836,120.57328,pm2_5,37.42439
9100936283,22,23.847836,120.57328,pm2_5,32.2351
9100936283,23,23.847836,120.57328,pm2_5,28.69125
11266783878,0,23.8788,120.5646,pm2_5,29.47595
11266783878,1,23.8788,120.5646,pm2_5,26.66366
11266783878,2,23.8788,120.5646,pm2_5,25.66998
11266783878,3,23.8788,120.5646,pm2_5,23.34439
11266783878,4,23.8788,120.5646,pm2_5,23.04339
11266783878,5,23.8788,120.5646,pm2_5,75.3947
11266783878,6,23.8788,120.5646,pm2_5,29.70054
